Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Hotel 101 - Manila,Pasay,8.8,Excellent,8237,Hotel,Hotel
Sofitel Philippine Plaza Manila,Pasay,7.9,Good,3168,Hotel,Hotel
Golden Phoenix Hotel - Manila,Pasay,7.5,Good,2560,Hotel,Hotel
Savoy Hotel Manila,Pasay,8.2,Very Good,1792,Hotel,Hotel
Belmont Hotel Manila,Pasay,8.1,Very Good,1989,Hotel,Hotel
The Heritage Hotel Manila,Pasay,7.9,Good,1682,Hotel,Hotel
"Holiday Inn Express Manila Newport City, an IHG Hotel",Pasay,7.6,Good,2022,Hotel,Hotel
Le Bar,Pasay,4.5,Making celebrations more special,290,Restaurant,Restaurant
Tim Ho Wan,Pasay,4.0,a fantastic spot to savor some dumplings,319,Restaurant,Restaurant
